Unsaved report,,,,,,,
"January 1, 2019 - August 24, 2019",,,,,,,
Day,Campaign, Clicks , Impressions , Cost , Avg. position , Conversions ,Search Impr. share
8/1/2019,Google - Brand - Core - SKAG,163.00,701.00,231.00,1.00,16.00,98.32%
8/1/2019,Google - Generic - DSA,27.00,405.00,14.00,3.00, -   ,<10%
8/1/2019,Google - Generic - Corporate - Massage,14.00,397.00,131.00,4.00, -   ,36.52%
8/1/2019,Google - Generic - Competitors,21.00,650.00,76.00,2.00,2.00,<10%
8/1/2019,Google - Brand - Corporate - Brand,1.00,14.00,5.00,1.00, -   ,100.00%
8/1/2019,Google - Generic - Google Play - App,14.00,112.00,54.00,1.00,1.00,95.73%
8/1/2019,Google - Generic - Masseuse,3.00,42.00,6.00,1.00,1.00,100.00%
8/1/2019,Google - Generic - Geo Keywords - Massage,173.00,4015.00,341.00,2.00,7.00,15.63%
8/1/2019,Google - Generic - In Home - Massage Home Modifier - Focus,14.00,93.00,147.00,1.00,1.00,41.89%
8/1/2019,Google - Generic - Massage - Core - Focus,43.00,504.00,152.00,2.00,1.00,29.12%
8/1/2019,YouTube - Retargeting - Non Converters- CPM,7.00,2098.00,30.00,1.00, -   , --
8/1/2019,Google - Generic - Assisted Stretching - NYC Geo,2.00,117.00,9.00,2.00, -   ,57.64%
8/2/2019,Google - Brand - Core - SKAG,176.00,633.00,310.00,1.00,33.00,97.38%
8/2/2019,Google - Generic - DSA,11.00,342.00,2.00,3.00,1.00,<10%
8/2/2019,Google - Generic - Competitors,24.00,1095.00,98.00,2.00,2.00,10.70%
8/2/2019,Google - UAC - In Home - Android,730.00,74132.00,20.00,1.00,25.00,<10%
8/2/2019,Google - Generic - Google Play - App,17.00,121.00,65.00,1.00,3.00,99.18%
8/2/2019,Google - Generic - Masseuse, -   ,23.00, -   ,1.00, -   ,95.83%
8/2/2019,YouTube - Retargeting - Non Visiting Video Watchers - CPM, -   ,2.00, -   ,1.00, -   , --
8/2/2019,YouTube - Retargeting - Non Converters- CPM,8.00,1921.00,29.00,1.00, -   , --
8/3/2019,Google - Generic - Massage - SKAG - National,121.00,3719.00,225.00,2.00, -   ,12.15%
8/3/2019,Google - Generic - DSA,22.00,321.00,10.00,3.00, -   ,<10%
8/3/2019,Google - Generic - Competitors,37.00,1724.00,134.00,2.00,2.00,15.12%
8/3/2019,Google - Generic - Massage - Core - National,200.00,3909.00,601.00,2.00,4.00,25.85%
8/3/2019,Google - Brand - Extra Tokens,85.00,289.00,205.00,1.00,5.00,99.66%
8/3/2019,Google - Generic - In Home - Massage Home Modifier - Focus,48.00,351.00,246.00,1.00,1.00,73.74%
8/3/2019,Google - Generic - Massage - SKAG - Focus,15.00,384.00,56.00,2.00, -   ,10.54%
8/3/2019,Google - Generic - Massage - Core - Focus,49.00,853.00,157.00,2.00,1.00,36.07%
8/3/2019,YouTube - Retargeting - Non Visiting Video Watchers - CPM, -   ,80.00,0.00,1.00, -   , --
8/3/2019,Google - Generic - Assisted Stretching - NYC Geo,3.00,90.00,10.00,2.00, -   ,59.21%
8/4/2019,Google - Generic - Massage - SKAG - National,78.00,2387.00,152.00,2.00,5.00,11.83%
8/4/2019,Google - Brand - Core - SKAG,209.00,600.00,354.00,1.00,60.00,97.40%
8/4/2019,Google - Generic - DSA,29.00,287.00,13.00,3.00, -   ,<10%
8/4/2019,Google - Generic - Corporate - Massage,1.00,150.00,0.00,3.00, -   ,27.57%
8/4/2019,Google - Generic - Competitors,16.00,866.00,132.00,2.00,2.00,<10%
8/4/2019,Google - Generic - Google Play - App,18.00,127.00,90.00,1.00, -   ,99.22%
8/4/2019,Google - Generic - Massage - Core - National,196.00,3555.00,601.00,2.00,8.00,23.34%
8/4/2019,Google - Generic - Masseuse,1.00,15.00,2.00,1.00, -   ,100.00%
8/4/2019,Google - Brand - Extra Tokens,27.00,226.00,131.00,1.00,4.00,100.00%
8/4/2019,Google - Generic - In Home - Massage Home Modifier - Focus,40.00,333.00,179.00,1.00,4.00,80.63%
8/4/2019,Google - Generic - Massage - SKAG - Focus,11.00,411.00,23.00,2.00, -   ,15.11%
8/4/2019,YouTube - Retargeting - Non Visiting Video Watchers - CPM, -   ,551.00,1.00,1.00, -   , --
8/4/2019,YouTube - Retargeting - Non Converters- CPM,5.00,1993.00,30.00,1.00, -   , --
8/5/2019,Google - Brand - Core - SKAG,206.00,741.00,379.00,1.00,53.00,96.74%
8/5/2019,Google - Generic - DSA,16.00,343.00,4.00,3.00, -   ,<10%
8/5/2019,Google - Generic - Competitors,20.00,611.00,128.00,2.00, -   ,<10%
8/5/2019,Google - Brand - Corporate - Brand,1.00,7.00,4.00,2.00, -   ,100.00%
8/5/2019,Google - Generic - Google Play - App,13.00,88.00,43.00,1.00, -   ,97.78%
8/5/2019,Google - Generic - Massage - Core - National,158.00,3489.00,646.00,2.00,1.00,23.17%
8/5/2019,Google - Generic - Massage - SKAG - Focus,21.00,896.00,48.00,2.00,1.00,19.14%
8/5/2019,YouTube - Retargeting - Non Converters- CPM,1.00,2126.00,31.00,1.00, -   , --
8/5/2019,Google - Generic - Assisted Stretching - NYC Geo,5.00,147.00,22.00,2.00, -   ,59.27%
8/6/2019,Google - Brand - Core - SKAG,228.00,798.00,434.00,1.00,40.00,96.26%
8/6/2019,Google - Generic - Massage - Core - National,177.00,3569.00,614.00,2.00,1.00,26.65%
8/6/2019,Google - Generic - In Home - Massage Home Modifier - National,277.00,2842.00,1039.00,2.00,6.00,60.51%
8/6/2019,Google - Generic - In Home - Massage Home Modifier - Focus,28.00,352.00,100.00,2.00, -   ,75.21%
8/6/2019,YouTube - Retargeting - Non Visiting Video Watchers - CPM, -   ,19.00,0.00,1.00, -   , --
8/6/2019,YouTube - Retargeting - Non Converters- CPM,2.00,2084.00,31.00,1.00, -   , --
8/6/2019,Google - Generic - Assisted Stretching - NYC Geo,5.00,139.00,21.00,2.00, -   ,55.82%
8/7/2019,Google - Generic - Massage - SKAG - National,223.00,7215.00,520.00,2.00,4.00,15.46%
8/7/2019,Google - Brand - Core - SKAG,188.00,726.00,347.00,1.00,21.00,96.16%
8/7/2019,Google - Brand - Corporate - Brand,4.00,8.00,9.00,2.00,1.00,100.00%
8/7/2019,Google - Generic - Massage Types,4.00,232.00,7.00,2.00, -   ,11.78%
8/7/2019,Google - Generic - Massage - Core - National,87.00,1943.00,315.00,2.00, -   ,17.02%
8/7/2019,Google - Generic - In Home - Massage Home Modifier - National,256.00,2570.00,803.00,2.00,12.00,57.83%
8/7/2019,Google - Generic - Masseuse, -   ,9.00, -   ,1.00, -   ,100.00%
8/7/2019,Google - Generic - Geo Keywords - Massage,662.00,18120.00,1732.00,2.00,14.00,32.62%
8/7/2019,Google - Generic - Massage - SKAG - Focus,17.00,520.00,37.00,2.00, -   ,15.24%
8/8/2019,Google - Generic - Massage - SKAG - National,120.00,3477.00,262.00,2.00,4.00,10.70%
8/8/2019,Google - Brand - Core - SKAG,202.00,731.00,312.00,1.00,57.00,97.60%
8/8/2019,Google - Generic - Competitors,45.00,2376.00,194.00,2.00,1.00,15.81%
8/8/2019,Google - Brand - Corporate - Brand,3.00,14.00,12.00,2.00, -   ,87.50%
8/8/2019,Google - Generic - Massage Types,18.00,1279.00,34.00,2.00, -   ,15.52%
8/8/2019,Google - Generic - Masseuse,5.00,17.00,12.00,2.00,1.00,100.00%
8/8/2019,Google - Generic - In Home - Massage Home Modifier - Focus,31.00,381.00,195.00,1.00,1.00,82.47%
8/8/2019,Google - Generic - Massage - SKAG - Focus,17.00,558.00,67.00,3.00, -   ,12.86%
8/8/2019,Google - Generic - Massage - Core - Focus,18.00,448.00,92.00,2.00,1.00,29.03%
8/8/2019,YouTube - Retargeting - Non Visiting Video Watchers - CPM, -   ,84.00,0.00,1.00, -   , --
