Unsaved report,,,,,,,,
"January 1, 2019 - August 24, 2019",,,,,,,,
Day,Campaign, Clicks , Impressions , Cost , Avg. position , Conversions ,Search Impr. share,index
1/1/2019,Google - Generic - Corporate - Competitor,1,37,4,4,0,20.79%,1
1/1/2019,Google - Generic - Massage - SKAG - National,206,7656,225,3,1,13.20%,2
1/1/2019,Google - Generic - Geo Keywords - Massage,213,7217,197,3,2,20.16%,3
1/1/2019,Google - Generic - Corporate - Massage,8,679,42,3,0,30.71%,4
1/1/2019,Google - Generic - Massage Types,24,797,24,3,0,27.98%,5
1/1/2019,Google - Generic - DSA,128,1334,21,3,0,10.21%,6
1/1/2019,Google - UAC - In Home - Android,63,3113,9,3,5,10%,7
1/1/2019,Croud_Google_Non-Brand_In Home_Gift,6,350,7,3,0,41.57%,8
1/1/2019,Google - Generic - Therapist - CA,0,10,0,2,0,66.67%,9
1/1/2019,Google - Generic - Therapist - US,0,7,0,2,0,28.00%,10
1/1/2019,Google - Generic - In Home - Massage Home Modifier - National,229,2766,752,2,6,81.57%,11
1/1/2019,Google - Generic - Massage - Core - National,149,3029,277,2,6,23.38%,12
1/1/2019,Google - Generic - Competitors,30,1683,43,2,0,17.26%,13
1/1/2019,Google - Generic - Masseuse,1,23,1,2,0,82.14%,14
1/1/2019,Google - Generic - In Home - Competitors Reme,0,15,0,1,0,93.75%,15
1/1/2019,Google - Brand - Core - SKAG,117,603,144,1,14,93.63%,16
1/1/2019,Google - Brand - Extra Tokens,45,253,83,1,4,49.90%,17
1/1/2019,Google - Generic - Google Play - App,12,90,24,1,2,98.90%,18
1/1/2019,Croud_Google_GDN_In Home_Re-marketing,16,3050,17,1,0,0,19
1/1/2019,Croud_Google_GDN_In Home_Membership Remarketing,6,2473,15,1,0,0,20
1/1/2019,Google - Brand - Corporate - Brand,3,4,3,1,0,100.00%,21
1/1/2019,Croud_Google_GDN_In Home_Re-engagement,1,2548,1,1,0,0,22
1/2/2019,Google - Generic - In Home - Massage Memberships,0,1,0,5,0,11.11%,23
1/2/2019,Google - Generic - Corporate - Competitor,0,40,0,3,0,20.30%,24
1/2/2019,Google - Generic - Geo Keywords - Massage,218,8811,208,3,2,18.31%,25
1/2/2019,Google - Generic - Corporate - Massage,7,740,52,3,1,27.59%,26
1/2/2019,Google - Generic - Massage Types,29,1078,31,3,0,30.26%,27
1/2/2019,Croud_Google_Non-Brand_In Home_Gift,11,376,14,3,0,37.45%,28
1/2/2019,Google - UAC - In Home - Android,73,2594,11,3,12,10%,29
1/2/2019,Google - Generic - Masseuse,0,34,0,2,0,94.44%,30
1/2/2019,Google - Generic - Therapist - CA,0,16,0,2,0,76.19%,31
1/2/2019,Google - Generic - In Home - Massage Home Modifier - National,209,3212,703,2,4,76.92%,32
1/2/2019,Google - Generic - Massage - Core - National,158,3573,402,2,3,23.80%,33
1/2/2019,Google - Generic - Massage - SKAG - National,208,9780,242,2,2,13.36%,34
1/2/2019,Google - Generic - Competitors,51,2772,70,2,1,17.61%,35
1/2/2019,Google - Generic - DSA,168,1755,43,2,0,10.34%,36
1/2/2019,Google - Generic - Therapist - US,1,13,1,2,0,28.89%,37
1/2/2019,Google - Generic - In Home - Competitors Reme,0,17,0,1,0,80.95%,38
1/2/2019,Google - Brand - Corporate - Brand,0,5,0,1,0,100.00%,39
1/2/2019,Google - Brand - Core - SKAG,180,878,197,1,16,97.77%,40
1/2/2019,Google - Brand - Extra Tokens,55,353,51,1,8,45.43%,41
1/2/2019,Croud_Google_GDN_In Home_Re-marketing,21,5369,22,1,0,0,42
1/2/2019,Google - Generic - Google Play - App,7,72,20,1,0,98.63%,43
1/2/2019,Croud_Google_GDN_In Home_Membership Remarketing,4,1795,18,1,0,0,44
1/2/2019,Croud_Google_GDN_In Home_Re-engagement,3,3608,9,1,1,0,45
1/3/2019,Google - Generic - Corporate - Competitor,0,36,0,3,0,21.69%,46
1/3/2019,Google - Generic - Geo Keywords - Massage,246,9872,237,3,4,19.96%,47
1/3/2019,Google - Generic - Massage - SKAG - National,177,8721,190,3,1,12.46%,48
1/3/2019,Google - Generic - Corporate - Massage,12,747,55,3,1,29.73%,49
1/3/2019,Google - Generic - Massage Types,32,1175,35,3,0,30.17%,50
1/3/2019,Google - Generic - DSA,98,1164,23,3,0,10%,51
1/3/2019,Google - UAC - In Home - Android,63,1673,9,3,9,10%,52
1/3/2019,Google - Generic - Masseuse,0,24,0,2,0,88.89%,53
1/3/2019,Google - Generic - Therapist - US,0,10,0,2,0,22.22%,54
1/3/2019,Google - Generic - In Home - Massage Home Modifier - National,232,3323,821,2,4,78.65%,55
1/3/2019,Google - Generic - Massage - Core - National,202,3887,476,2,0,24.28%,56
1/3/2019,Google - Generic - Competitors,46,2468,71,2,1,16.28%,57
1/3/2019,Croud_Google_Non-Brand_In Home_Gift,6,408,7,2,0,38.78%,58
