Unsaved report,,,,,,,
"January 1, 2019 - August 24, 2019",,,,,,,
Day,Currency,Clicks,Impressions,Cost,Avg. position,Conversions,Search Impr. share
1/1/2019,USD,1258.00,37737.00,1891.49,2.18,40.00,18.65%
1/2/2019,USD,1403.00,46892.00,2095.62,2.10,50.00,18.16%
1/3/2019,USD,1315.00,48522.00,2141.82,2.03,48.00,18.43%
1/4/2019,USD,1288.00,42937.00,2304.64,2.10,54.00,18.20%
1/5/2019,USD,1448.00,41445.00,2226.85,2.12,43.00,17.72%
1/6/2019,USD,1401.00,41090.00,2119.94,2.12,40.00,18.45%
1/7/2019,USD,1225.00,40922.00,1904.87,2.03,39.00,17.25%
1/8/2019,USD,1116.00,36279.00,2001.42,2.14,57.00,16.53%
1/9/2019,USD,1133.00,37353.00,1943.40,2.02,51.00,16.30%
1/10/2019,USD,1114.00,34863.00,1986.55,2.11,42.00,16.46%
1/11/2019,USD,1191.00,37170.00,2208.94,2.01,59.00,16.39%
1/12/2019,USD,1418.00,38351.00,2430.59,2.11,72.00,17.60%
1/13/2019,USD,1483.00,43570.00,2352.36,2.03,84.00,18.85%
1/14/2019,USD,1418.00,46043.00,2487.64,2.08,70.00,18.44%
1/15/2019,USD,1614.00,56953.00,2676.91,1.89,70.00,18.61%
1/16/2019,USD,1457.00,45959.00,2801.17,2.09,61.00,18.20%
1/17/2019,USD,1578.00,48266.00,2814.27,2.07,57.00,18.48%
1/18/2019,USD,1528.00,49686.00,2749.99,2.07,49.00,18.42%
1/19/2019,USD,1573.00,46213.00,2600.75,2.14,56.00,18.92%
1/20/2019,USD,1730.00,46102.00,2938.89,2.17,71.00,19.80%
1/21/2019,USD,1711.00,61479.00,2920.77,2.07,48.00,22.08%
1/22/2019,USD,1702.00,51784.00,2849.95,2.24,32.00,22.10%
1/23/2019,USD,1796.00,55296.00,3280.77,2.27,50.00,24.03%
1/24/2019,USD,1646.00,50926.00,3120.32,2.29,70.00,22.35%
1/25/2019,USD,1597.00,47965.00,2932.50,2.31,77.00,21.82%
1/26/2019,USD,1754.00,52414.00,3081.01,2.32,57.00,23.13%
1/27/2019,USD,1847.00,56252.00,3315.47,2.25,77.00,24.68%
1/28/2019,USD,1531.00,40853.00,3205.07,2.29,63.00,21.33%
1/29/2019,USD,1498.00,35096.00,2965.50,2.31,72.00,20.13%
1/30/2019,USD,1406.00,35689.00,3214.20,2.33,72.00,20.60%
1/31/2019,USD,1516.00,35665.00,3283.30,2.29,59.00,21.50%
2/1/2019,USD,1396.00,33411.00,3124.58,2.30,122.00,20.27%
2/2/2019,USD,1474.00,30833.00,2905.98,2.40,96.00,18.65%
2/3/2019,USD,1374.00,32594.00,2906.47,2.42,67.00,21.09%
2/4/2019,USD,1548.00,38590.00,3465.90,2.39,55.00,19.97%
2/5/2019,USD,1604.00,36747.00,3384.82,2.40,52.00,20.30%
2/6/2019,USD,1613.00,39052.00,4000.28,2.37,68.00,20.70%
2/7/2019,USD,1620.00,38739.00,4407.02,2.31,67.00,21.30%
2/8/2019,USD,1606.00,41082.00,3858.28,2.34,70.00,21.76%
2/9/2019,USD,1786.00,39563.00,3608.78,2.34,92.00,22.77%
2/10/2019,USD,2052.00,47153.00,4087.98,2.18,103.00,24.95%
2/11/2019,USD,1888.00,45034.00,3681.61,2.24,89.00,22.59%
2/12/2019,USD,2021.00,47552.00,4080.75,2.15,121.00,22.44%
2/13/2019,USD,2065.00,48647.00,4356.05,2.24,115.00,23.44%
2/14/2019,USD,1893.00,41662.00,3881.74,2.23,121.00,22.19%
2/15/2019,USD,2048.00,49292.00,4293.66,2.27,104.00,23.17%
2/16/2019,USD,2194.00,55365.00,4111.21,2.27,114.00,23.25%
2/17/2019,USD,2087.00,52035.00,3848.32,2.24,83.00,23.68%
2/18/2019,USD,2034.00,49895.00,4155.18,2.27,76.00,22.65%
2/19/2019,USD,2087.00,49391.00,4155.52,2.28,95.00,22.81%
2/20/2019,USD,2067.00,48570.00,3998.43,2.28,101.00,22.14%
2/21/2019,USD,1854.00,46693.00,3813.04,2.29,96.00,21.49%
2/22/2019,USD,1910.00,46891.00,3536.63,2.21,98.00,21.00%
2/23/2019,USD,1895.00,44311.00,3930.00,2.33,85.00,21.15%
2/24/2019,USD,1923.00,44202.00,3776.30,2.28,103.00,21.10%
2/25/2019,USD,1875.00,50289.00,3832.83,2.24,75.00,22.22%
2/26/2019,USD,1749.00,45476.00,3655.80,2.32,97.00,21.43%
2/27/2019,USD,1731.00,43010.00,3991.29,2.34,77.00,21.50%
2/28/2019,USD,1641.00,43309.00,3790.37,2.27,76.00,24.32%
3/1/2019,USD,1715.00,42443.00,3946.18,2.26,80.00,21.95%
3/2/2019,USD,1934.00,44898.00,4040.62,2.31,91.00,23.96%
3/3/2019,USD,1952.00,46328.00,4086.21,2.22,90.00,24.59%
3/4/2019,USD,1579.00,40692.00,3213.47,2.31,69.00,24.39%
3/5/2019,USD,1484.00,37130.00,3133.70,2.37,63.00,23.49%
3/6/2019,USD,1493.00,35152.00,2734.63,2.35,60.00,23.08%
3/7/2019,USD,1458.00,33776.00,3374.46,2.33,87.00,22.87%
3/8/2019,USD,1566.00,36673.00,3362.03,2.34,89.00,23.06%
3/9/2019,USD,1746.00,36357.00,3530.57,2.38,82.00,24.68%
3/10/2019,USD,1603.00,36590.00,2794.97,2.38,84.00,25.44%
3/11/2019,USD,1651.00,41141.00,3312.24,2.36,76.00,23.72%
3/12/2019,USD,1463.00,36399.00,2901.88,2.42,64.00,22.33%
3/13/2019,USD,1581.00,38759.00,3517.48,2.40,85.00,22.27%
3/14/2019,USD,1460.00,37544.00,3390.83,2.35,73.00,21.95%
3/15/2019,USD,1581.00,38639.00,3591.85,2.37,81.00,22.29%
3/16/2019,USD,1772.00,37857.00,3969.69,2.40,95.00,23.47%
