beds,baths,sq__ft,sale_date,price
2,1,836,Wed May 21 00:00:00 EDT 2008,59222
3,1,1167,Wed May 21 00:00:00 EDT 2008,68212
2,1,796,Wed May 21 00:00:00 EDT 2008,68880
2,1,852,Wed May 21 00:00:00 EDT 2008,69307
2,1,797,Wed May 21 00:00:00 EDT 2008,81900
3,1,1122,Wed May 21 00:00:00 EDT 2008,89921
3,2,1104,Wed May 21 00:00:00 EDT 2008,90895
3,1,1177,Wed May 21 00:00:00 EDT 2008,91002
2,2,941,Wed May 21 00:00:00 EDT 2008,94905
3,2,1146,Wed May 21 00:00:00 EDT 2008,98937
3,2,909,Wed May 21 00:00:00 EDT 2008,100309
3,2,1289,Wed May 21 00:00:00 EDT 2008,106250
1,1,871,Wed May 21 00:00:00 EDT 2008,106852
3,1,1020,Wed May 21 00:00:00 EDT 2008,107502
2,2,1022,Wed May 21 00:00:00 EDT 2008,108750
2,2,1134,Wed May 21 00:00:00 EDT 2008,110700
2,1,844,Wed May 21 00:00:00 EDT 2008,113263
2,1,795,Wed May 21 00:00:00 EDT 2008,116250
2,1,588,Wed May 21 00:00:00 EDT 2008,120000
3,2,1356,Wed May 21 00:00:00 EDT 2008,121630
3,2,1118,Wed May 21 00:00:00 EDT 2008,122000
4,2,1329,Wed May 21 00:00:00 EDT 2008,122682
4,2,1240,Wed May 21 00:00:00 EDT 2008,123000
3,2,1601,Wed May 21 00:00:00 EDT 2008,124100
3,2,901,Wed May 21 00:00:00 EDT 2008,125000
3,2,1088,Wed May 21 00:00:00 EDT 2008,126640
3,1,963,Wed May 21 00:00:00 EDT 2008,127281
3,2,1119,Wed May 21 00:00:00 EDT 2008,129000
4,2,1380,Wed May 21 00:00:00 EDT 2008,131200
3,2,1248,Wed May 21 00:00:00 EDT 2008,132000
2,2,1039,Wed May 21 00:00:00 EDT 2008,133000
3,2,1152,Wed May 21 00:00:00 EDT 2008,134555
3,2,1380,Wed May 21 00:00:00 EDT 2008,136500
3,2,1116,Wed May 21 00:00:00 EDT 2008,138750
2,2,1039,Wed May 21 00:00:00 EDT 2008,141000
3,2,1418,Wed May 21 00:00:00 EDT 2008,146250
3,2,1082,Wed May 21 00:00:00 EDT 2008,147308
4,2,1472,Wed May 21 00:00:00 EDT 2008,148750
4,2,1146,Wed May 21 00:00:00 EDT 2008,149593
1,1,760,Wed May 21 00:00:00 EDT 2008,150000
2,2,1304,Wed May 21 00:00:00 EDT 2008,152000
3,2,1207,Wed May 21 00:00:00 EDT 2008,154000
3,2,1056,Wed May 21 00:00:00 EDT 2008,156896
2,2,1043,Wed May 21 00:00:00 EDT 2008,161250
4,2,1587,Wed May 21 00:00:00 EDT 2008,161500
4,1,1120,Wed May 21 00:00:00 EDT 2008,164000
4,2,1580,Wed May 21 00:00:00 EDT 2008,165000
4,1,1955,Wed May 21 00:00:00 EDT 2008,166357
4,2,1656,Wed May 21 00:00:00 EDT 2008,166357
3,2,1477,Wed May 21 00:00:00 EDT 2008,168000
3,2,1188,Wed May 21 00:00:00 EDT 2008,170000
4,2,1590,Wed May 21 00:00:00 EDT 2008,173000
3,2,1463,Wed May 21 00:00:00 EDT 2008,174250
4,2,1714,Wed May 21 00:00:00 EDT 2008,174313
3,2,1185,Wed May 21 00:00:00 EDT 2008,178480
3,2,1406,Wed May 21 00:00:00 EDT 2008,178760
4,2,1943,Wed May 21 00:00:00 EDT 2008,179580
3,2,1172,Wed May 21 00:00:00 EDT 2008,181000
3,1,1152,Wed May 21 00:00:00 EDT 2008,181872
4,3,1851,Wed May 21 00:00:00 EDT 2008,182587
3,2,1215,Wed May 21 00:00:00 EDT 2008,182716
3,2,1130,Wed May 21 00:00:00 EDT 2008,182750
4,2,1603,Wed May 21 00:00:00 EDT 2008,183200
3,1,1479,Wed May 21 00:00:00 EDT 2008,188741
3,2,1420,Wed May 21 00:00:00 EDT 2008,189000
3,2,1280,Wed May 21 00:00:00 EDT 2008,192067
3,2,1586,Wed May 21 00:00:00 EDT 2008,194000
3,2,1362,Wed May 21 00:00:00 EDT 2008,194818
4,4,2162,Wed May 21 00:00:00 EDT 2008,195000
